Disruption ID,Date Issued,Start Date,Finish Date,Status,Closure,On Street,From Street,To Street,Impact,Duration,Details,Description,Activity Type,Traffic District,Infrastructure,point
807,09/10/2020 12:00:00 AM,09/25/2020 12:00:00 AM,02/26/2021 12:00:00 AM,REVISED,119 Street Drainage Repair,119 Street NW,28 Avenue NW,Westbrook Drive NW,Increased Travel Time,Fri - Sun,"Traffic on 119 Street, 28 Ave NW to Westbrook Drive NW will be reduced to one lane in each direction.  Detour using 111 Street & Terwillegar Drive.",Drainage Tunnel Shaft Repair,Construction,Southwest,Road and Sidewalk,POINT (-113.537448087098 53.459170625403)
18,01/03/2020 12:00:00 AM,02/07/2018 12:00:00 AM,06/30/2021 12:00:00 AM,Current,Trans Ed LRT Davies Rd Closure,Davies Road NW,Wagner Road NW,,Total Closure,~3.5 Years,Davies Road closed at Wagner Road. Business access from the south.,Utility and Roadwork,Construction,Southeast,Road,POINT (-113.445728401588 53.501395508032)
997,12/01/2020 12:00:00 AM,12/21/2020 12:00:00 AM,11/01/2021 12:00:00 AM,Current,Duggan Bridge Total Closure,Saskatchewan Drive NW,106 Street NW,107 Street NW,Total Closure,Long Term Project Approx 11mo,"Duggan Bridge (Sask Dr, 106 St - 107 St) will be totally closed to vehicles, cyclists & pedestrians starting Dec 21 @ 9am. Motorists detour using 82 Av. Cyclists and pedestrians detour using 107 St or 106 St to temporary shared use path South of 87 Av.",Bridge Rehabilitation,Construction,Central,Road and Sidewalk,POINT (-113.503458042003 53.523122531171)
10,01/02/2020 12:00:00 AM,01/08/2018 12:00:00 AM,01/01/2021 12:00:00 AM,Current,102 Ave Closure,102 Avenue NW,96 Street NW,103 Street NW,Total Closure,Long Term Project,"102 Ave from 96 St - 103 St will be closed. Cross traffic at 97 St, 100 St, 101 St & 103 St will be maintained. Detour using Jasper Ave or 103A Ave",Valley Line LRT Construction,Construction,Central,Road and Sidewalk,POINT (-113.482528884138 53.544667715862)
939,11/06/2020 12:00:00 AM,10/23/2020 12:00:00 AM,12/21/2020 12:00:00 AM,Current,Reduced to signle lane eastbound,SASKATCHEWAN DRIVE,106 STREET,107 STREET,Increased Travel Time,2 months,"Saskatchewan Drive is reduced to one lane eastbound to accommodate shared use path detour due to EPCOR Drainage Project until 9 a.m. Monday, Dec 21.",EPCOR Drainage Project,Construction,Central,Road and Sidewalk,POINT (-113.503458042003 53.523122531171)
803,09/21/2020 12:00:00 AM,09/28/2020 12:00:00 AM,01/31/2021 12:00:00 AM,REVISED,167 St Southbound Directional Closure,167 Street NW,83 Avenue NW,81 Avenue NW,Directional Closure,3 Months,"Starting at 9am on September 28, Southbound 167 Street will be closed from 83 Avenue to approximately 50m south of 83 Avenue to allow for installation of a drainage manhole. Please use other routes.",167 St Manhole Installation,Construction,Northwest,Road,POINT (-113.609687933044 53.516507696553)
1033,12/16/2020 12:00:00 AM,12/17/2020 12:00:00 AM,12/19/2020 12:00:00 AM,Current,120 Street Total Closure,120 Street NW,Jasper Avenue NW,102 Avenue NW,Total Closure,3 Days,120 St from Jasper Av to the Lane N/O Jasper Av will be closed from 12pm Dec 16th - 9am Dec 19th.,Concrete Pour,Construction,Central,Road,POINT (-113.528649978895 53.540935164692)
353,05/22/2020 12:00:00 AM,05/22/2020 12:00:00 AM,06/30/2021 12:00:00 AM,Current,Trans Ed 95 Av Closures,95 Avenue NW,85 Street NW,Connors Road NW,Directional Closure,Periodic Nightly 9pm - 6am,Trans Ed LRT will have periodic overnight closures of sections of 95 Av between 85 St and Connors Rd. Check their website for details.,LRT Construction,Construction,Southeast,Road and Sidewalk,POINT (-113.457492680167 53.531770444018)
894,10/21/2020 12:00:00 AM,07/13/2020 12:00:00 AM,01/13/2021 12:00:00 AM,Current,Staged Total Closure,102 Avenue NW,95 Street NW,96 Street NW,Total Closure,4 Months,"102 Ave, 95 St - 96 St staged total closure. Maintaining access at either end for emergency service vehicles. Local pedestrian access maintain via temporary pedestrian pathway.",Road Construction for VLRT,Construction,Central,Road and Sidewalk,POINT (-113.478794038578 53.545236812334)
938,11/05/2020 12:00:00 AM,11/09/2020 12:00:00 AM,12/18/2020 12:00:00 AM,Current,102 St Closure,102 Street NW,103 Avenue NW,104 Avenue NW,Total Closure,1 Month +,"Starts Monday Nov 9 at 9am, 102 St from 103 Ave to north of 102 Ave closed due to waterline replacement. Bell Tower, Edmonton Tower & Marriot Hotel parkade access via 102 St - 104 Ave.",Waterline Replacement,Construction,Central,Road,POINT (-113.495555250867 53.544593414022)
1034,12/16/2020 12:00:00 AM,12/11/2020 12:00:00 AM,12/18/2020 12:00:00 AM,Current,102 St Traffic Split,103 Street,102 Avenue,103 Avenue,Travel Delays,1 week,"GS Construction will split traffic on 103 St, from 102 Av to 103 Av for water main replace/repairs. Starts Fri, Dec 11 until Fri, Dec 18.",Water line repair replace,Construction,Central,Road,POINT (-113.497407896705 53.543013110819)
998,12/01/2020 12:00:00 AM,12/17/2020 12:00:00 AM,11/01/2021 12:00:00 AM,Current,Fort Hill Total Closure,Fort Hill NW,87 Avenue NW,Walterdale Hill NW,Total Closure,Long Term Project Approx 11mo,"Fort Hill Road under Duggan Bridge to be closed to vehicles, pedestrians and cyclists starting Dec 17 @ 9am. Pedestrians and cyclists are advised to follow onsite directional sigange for detours.",Duggan Bridge Rehabilitation,Construction,Central,Road and Sidewalk,POINT (-113.50505515382 53.522563409919)
979,11/24/2020 12:00:00 AM,12/11/2020 12:00:00 AM,12/25/2020 12:00:00 AM,REVISED,87 Ave Power Line Installation,87 Avenue NW,156 Street NW,,Travel Delays,Approx. 14 Days,87 Ave is reduced to one lane in each direction at 156 St with a split to the North side. Various turns are banned. South crosswalk is closed. Northbound 156 St from 84 Ave to 87 Ave is closed. Soutbound 156 St from 87 Ave to 84 Ave is open.,Power Line Installation,Construction,Northwest,Road,POINT (-113.590332225448 53.519453481099)
770,09/10/2020 12:00:00 AM,09/10/2020 12:00:00 AM,02/28/2021 12:00:00 AM,REVISED,102 Av EB Closure,102 Avenue NW,107 Street NW,106 Street NW,Directional Closure,5 Months,102 Av EB closed from 107 St to the lane East of 107 St to accommodate pedestrians and cyclists due to Bike lane and South Sidewalk closure.,Ped / Cyclist Accomodation,Construction,Central,Road and Sidewalk,POINT (-113.504747802087 53.543014393718)
974,11/23/2020 12:00:00 AM,12/07/2020 12:00:00 AM,12/18/2020 12:00:00 AM,Current,127 Ave Reduced to 1 Lane EB,127 Avenue NW,82 Street NW,86 Street NW,Increased Travel Time,12 Days,127 Ave will be reduced to 1 Lane EB from 82 St - 86 St. Use other routes.,Sewer Repair,Construction,Northeast,Road,POINT (-113.467303143722 53.584846779999)
974,11/23/2020 12:00:00 AM,12/07/2020 12:00:00 AM,12/18/2020 12:00:00 AM,Current,127 Ave Reduced to 1 Lane EB,127 Avenue NW,82 Street NW,86 Street NW,Increased Travel Time,12 Days,127 Ave will be reduced to 1 Lane EB from 82 St - 86 St. Use other routes.,Sewer Repair,Construction,Northeast,Road,POINT (-113.47261957458 53.584840300673)
353,05/22/2020 12:00:00 AM,05/22/2020 12:00:00 AM,06/30/2021 12:00:00 AM,Current,Trans Ed 95 Av Closures,95 Avenue NW,85 Street NW,Connors Road NW,Directional Closure,Periodic Nightly 9pm - 6am,Trans Ed LRT will have periodic overnight closures of sections of 95 Av between 85 St and Connors Rd. Check their website for details.,LRT Construction,Construction,Southeast,Road and Sidewalk,POINT (-113.471401514413 53.53164837943)
880,10/15/2020 12:00:00 AM,10/16/2020 12:00:00 AM,05/04/2022 12:00:00 AM,REVISED,148 St Drainage Shaft Installation,148 Street NW,99 Avenue NW,100 Avenue NW,Total Closure,1.5 Years,* Revised: Nov 27 - Jan 04 * SBD 148 St will be open north of 99 Ave. NBD 148 St will remain closed from 99 Ave to approx. 20m north of 99 Ave. Local and emergency access on 148 St will be maintained in the SBD direction. Total closure to return Jan 04.,Drainage Shaft Installation,Construction,Northwest,Road,POINT (-113.576256642468 53.537715417908)
1009,12/04/2020 12:00:00 AM,12/14/2020 12:00:00 AM,12/24/2020 12:00:00 AM,Current,One lane eastbound,82 Avenue,97 Street,98 Street,Increased Travel Time,11 Days,"Beginning at 9 a.m. Monday December 14, 82 Avenue eastbound is reduced to one lane for EPCOR Water work.  Westbound median lane closure may be present during off peak hours.  Keep Right both directions.",EPCOR Water work,Construction,Central,Road,POINT (-113.479723312326 53.518044781948)
929,10/30/2020 12:00:00 AM,11/05/2020 12:00:00 AM,12/22/2020 12:00:00 AM,REVISED,184 Street Drainage Repair,184 Street NW,57 Avenue NW,60 Avenue NW,Total Closure,7 Weeeks,"184 St, 57 Ave to 60 Ave will be totally closed.  EBD & WBD movement will be permitted on 57 Ave & 60 Ave.  Detour using Anthony Henday Drive & Lessard Road.",Emergency Drainage Repair,Construction,Southwest,Road,POINT (-113.640272564341 53.491713645112)
914,10/27/2020 12:00:00 AM,11/02/2020 12:00:00 AM,12/18/2020 12:00:00 AM,REVISED,Whitemud Drive Rainbow Valley Bridge Repair,Whitemud Drive NW,122 Street NW,Terwillegar Drive NW,Increased Travel Time,6 Weeks,Westbound direction of Whitemud Drive over Rainbow Valley bridge will be reduced to two lanes.,Concrete Repair,Construction,Southwest,Road,POINT (-113.571667660498 53.485130374901)
