MAPID;NAME;CATEGORY1;CATEGORY2;ADDRESS;SHORT_DESCRIPTION;URL;URL2;URL3;Geom;Geo Local Area
GCP126;Living Oceans Society;Greenest City Fund Project;Local-Food;207 W Hastings St;2012 Greenest City Community grant fund project. To help increase access to local sustainable seafood.;http://vancouver.ca/news-calendar/city-and-vancouver-foundation-announce-winners-of-greenest-city-community-grants-for-2012.aspx;;http://www.livingoceans.org/;"{""type"": ""Point"", ""coordinates"": [-123.1096981, 49.28282035]}";Downtown
GCP127;Vancouver Fruit Tree Project Society;Greenest City Fund Project;Local-Food;517-119 W. Pender St;2012 Greenest City Community grant fund project. To assist in the operations of Treehouse Treats social enterprise.;http://vancouver.ca/news-calendar/city-and-vancouver-foundation-announce-winners-of-greenest-city-community-grants-for-2012.aspx;;https://vancouverfruittree.com/;"{""type"": ""Point"", ""coordinates"": [-123.108198000947, 49.2813144859328]}";Downtown
GCP130;Annual Earth Day Vancouver Celebration;Greenest City Fund Project;Lighter-Footprint;Grandview Park;2012 Greenest City Generation Green grant project.  Annual Earth Day Vancouver Celebration.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.0705231, 49.27348854]}";Grandview-Woodland
GCP131;Environmental Youth Alliance;Greenest City Fund Project;Local-Food;Suite 517-119 West Pender Street;2012 Greenest City Generation Green grant project. To build a community nursery.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;http://www.eya.ca/splash.php;"{""type"": ""Point"", ""coordinates"": [-123.1082024, 49.2813107]}";Downtown
GCP132;John Henderson Elementary;Greenest City Fund Project;Local-Food;51 E 53rd Av;2012 Greenest City Generation Green grant project. Greening Henderson.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;http://go.vsb.bc.ca/schools/henderson/Pages/default.aspx;"{""type"": ""Point"", ""coordinates"": [-123.0955242, 49.22321504]}";Sunset
GCP133;VSB's Engaged Immigrant Youth program;Greenest City Fund Project;Local-Food;1580 W Broadway;2012 Greenest City Generation Green grant project. Jarai Gardening Project.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;http://www.vsb.bc.ca/engaged-immigrant-youth;"{""type"": ""Point"", ""coordinates"": [-123.140367984638, 49.2635813968099]}";Fairview
GCP134;Lord Kitchener Outdoor Classroom;Greenest City Fund Project;Local-Food;3455 W. King Edward Av;2012 Greenest City Generation Green grant project. Lord Kitchener Outdoor Classroom.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;http://www.kitchenerschoolpac.com/2012/06/outdoor-classroom-receives-1000-grant/;"{""type"": ""Point"", ""coordinates"": [-123.180739987966, 49.2506220063709]}";Dunbar-Southlands
GCP139;Purple Thistle;Greenest City Fund Project;Local-Food;260-975 Vernon Av;2012 Greenest City Generation Green grant project.  Youth Urban Agriculture Project;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;http://www.purplethistle.ca/;"{""type"": ""Point"", ""coordinates"": [-123.0786462, 49.27609227]}";Strathcona
GCP144;Collingwood Green Program;Greenest City Fund Project;Lighter-Footprint;South Van - Collingwood;South Van - Collingwood - Greenest City Small grants 2012 project.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.03903400652, 49.2442900026578]}";Renfrew-Collingwood
GCP146;Norquay Community Learning Orchard;Greenest City Fund Project;Local-Food;South Van - Collingwood;South Van - Collingwood - Greenest City Small grants 2012 project.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.039025997659, 49.2442830008153]}";Renfrew-Collingwood
GCP149;Prayers in Garden;Greenest City Fund Project;Local-Food;South Van - Collingwood;South Van - Collingwood - Greenest City Small grants 2012 project.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.0390828, 49.25715516]}";Renfrew-Collingwood
GCP152;Oil Dependancy education station;Greenest City Fund Project;Climate-Leadership;South Van - Collingwood;South Van - Collingwood - Greenest City Small grants 2012 project.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.0604505, 49.24430419]}";Kensington-Cedar Cottage
GCP153;Salsbury Herb Garden;Greenest City Fund Project;Local-Food;Cedar Cottage, Kensington and Hastings-Sunrise;Kensington, Cedar Cottage - Greenest City Small grants 2012 project.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.059350004869, 49.2581499912127]}";Kensington-Cedar Cottage
GCP155;Adanac Growing & Harvesting Community Pr;Greenest City Fund Project;Local-Food;Cedar Cottage, Kensington and Hastings-Sunrise;Kensington, Cedar Cottage - Greenest City Small grants 2012 project.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.059380006234, 49.258149995024]}";Kensington-Cedar Cottage
GCP159;Cedar Cottage Bee and Tree Project;Greenest City Fund Project;Access-to-Nature;Cedar Cottage, Kensington and Hastings-Sunrise;Kensington, Cedar Cottage - Greenest City Small grants 2012 project.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.059388012033, 49.2581110021461]}";Kensington-Cedar Cottage
