Index Number;Name;Address;Project Status;Occupancy Year;Design - Accessible 1BR;Design - Accessible 2BR;Design - Accessible 3BR;Design - Accessible 4BR;Design - Accessible Studio;Design - Accessible Room;Design - Adaptable 1BR;Design - Adaptable 2BR;Design - Adaptable 3BR;Design - Adaptable 4BR;Design - Standard 1BR;Design - Standard 2BR;Design - Standard 3BR;Design - Standard 4BR;Design - Standard Studio;Design - Standard Room;Clientele- Families;Clientele - Seniors;Clientele - Other;Operator;Local Area;URL;Geom
339;St. George's Place;2938 Laurel St;Completed;1999;6;3;0;0;0;0;1;3;4;0;2;0;0;0;0;0;10;0;9;St. George's Place Housing Society;Fairview;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=339;"{""type"": ""Point"", ""coordinates"": [-123.12400793, 49.25893455]}"
351;The Gresham;716 Smithe St;Completed;1993;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0;41;City of Vancouver;Downtown;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=351;"{""type"": ""Point"", ""coordinates"": [-123.12195534, 49.28035617]}"
391;Bridget Moran Place;668 Powell St;Completed;2001;0;0;0;0;1;0;0;0;0;0;0;0;0;0;60;0;0;0;61;Neighbourhood Housing Society;Strathcona;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=391;"{""type"": ""Point"", ""coordinates"": [-123.09001295, 49.28274762]}"
403;Vancouver East Co-op;1109 Victoria Dr;Completed;1980;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;5;0;0;Vancouver East Co-op Housing Association;Grandview-Woodland;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=403;"{""type"": ""Point"", ""coordinates"": [-123.06589423, 49.27456138]}"
404;Vancouver East Co-op;1803 Kitchener St;Completed;1981;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;Vancouver East Co-op Housing Association;Grandview-Woodland;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=404;"{""type"": ""Point"", ""coordinates"": [-123.06744889, 49.27233281]}"
408;W.A. Street Homes;1030 Keefer St;Completed;1986;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;Affordable Housing Societies;Strathcona;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=408;"{""type"": ""Point"", ""coordinates"": [-123.0817062, 49.27888667]}"
411;W.A. Street Homes;761 Prior St;Completed;1986;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;Affordable Housing Societies;Strathcona;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=411;"{""type"": ""Point"", ""coordinates"": [-123.0883026, 49.27681412]}"
428;Mole Hill - Phase II;1110 Bute St;Completed;2003;0;0;0;0;0;0;0;0;0;0;3;0;1;0;3;0;2;0;5;Mole Hill Community Housing Society;West End;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=428;"{""type"": ""Point"", ""coordinates"": [-123.1316739, 49.28265672]}"
463;Mau Dan Gardens Co-op;401 Keefer St;Completed;1982;0;0;0;0;0;0;0;0;0;0;0;12;26;0;0;0;38;0;0;Mau Dan Gardens Co-op Housing Association;Strathcona;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=463;"{""type"": ""Point"", ""coordinates"": [-123.09455401, 49.27966571]}"
533;Marin Vista;8475 Duff St;Completed;1985;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;19;0;0;Affordable Housing Societies;Victoria-Fraserview;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=533;"{""type"": ""Point"", ""coordinates"": [-123.06481634, 49.20776282]}"
