VIN (1-10),County,City,State,ZIP Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location
WBY8P4C57K,Benton,RICHLAND,WA,99352,2019,BMW,I3 WITH RANGE EXTENDER,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,126,44450,8,7844245,POINT (-119.285025 46.247465)
5YJXCDE22H,King,SAMMAMISH,WA,98075,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,82500,41,108986699,POINT (-122.028168 47.586173)
3FA6P0SU0G,Thurston,LACEY,WA,98503,2016,FORD,FUSION ENERGI,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,33900,22,259469577,POINT (-122.80237 47.02499)
5YJ3E1EB2J,Snohomish,GOLD BAR,WA,98251,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,36000,39,474849826,POINT (-121.618012 47.823355)
1G1RA6S53J,Pierce,LAKEWOOD,WA,98498,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,34095,28,261108438,POINT (-122.55645 47.162344)
5YJ3E1EA5J,King,SEATTLE,WA,98121,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,36000,36,103235527,POINT (-122.34619000000002 47.615293)
1N4BZ1CP7K,King,KENMORE,WA,98028,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,29990,46,100534899,POINT (-122.24619300000002 47.755504)
5YJ3E1EA1K,King,AUBURN,WA,98002,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,35000,47,477990544,POINT (-122.216415 47.305093)
5YJ3E1EB9K,Pierce,PUYALLUP,WA,98374,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,35000,25,275753453,POINT (-122.26536800000001 47.133331)
1G1FW6S03J,Snohomish,BOTHELL,WA,98021,2018,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,37495,1,187858821,POINT (-122.21210499999998 47.792368)
1N4AZ0CP5G,Snohomish,SNOHOMISH,WA,98290,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,29010,44,108000238,POINT (-122.029605 47.939428)
1N4BZ0CP4H,Snohomish,BOTHELL,WA,98012,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,30680,1,183363540,POINT (-122.20151499999999 47.843376)
1G1FW6S07J,King,SEATTLE,WA,98104,2018,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,37495,43,119316970,POINT (-122.32861100000001 47.602601)
5YJ3E1EC9L,King,NORMANDY PARK,WA,98166,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,308,0,33,6118878,POINT (-122.34939400000002 47.455070000000006)
SADHD2S17K,Whatcom,BELLINGHAM,WA,98229,2019,JAGUAR,I-PACE,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,234,69500,40,146941336,POINT (-122.414936 48.709388)
KNAGU4LE6K,Skagit,MOUNT VERNON,WA,98274,2019,KIA,OPTIMA PLUG-IN HYBRID,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,29,35390,10,475493917,POINT (-122.250701 48.368138)
5YJ3E1EB6L,King,SEATTLE,WA,98101,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,43,103484391,POINT (-122.334341 47.611423)
JTDKN3DP8C,Pierce,TACOMA,WA,98403,2012,TOYOTA,PRIUS,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6,32000,27,340208431,POINT (-122.45971600000001 47.265523)
1N4AZ0CP4F,San Juan,FRIDAY HARBOR,WA,98250,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,29010,40,142385498,POINT (-123.084302 48.544106)
JTDKARFP1J,King,NORMANDY PARK,WA,98166,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,27300,33,184974457,POINT (-122.34939400000002 47.455070000000006)
