CRASH_ID,CRASH_DATE,CRASH_TIME,SUBURB_LOCATION,LONGITUDE,LATITUDE,INTERSECTION,MIDBLOCK,CRASH_DIRECTION,CRASH_SEVERITY,LIGHTING_CONDITION,ROAD_CONDITION,WEATHER_CONDITION,Location
1210162,26/06/2019,08:15,FYSHWICK,149.16680766308588,-35.33316030610722,YES,NO,East bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.33316030610722, 149.16680766308588)"
1212479,28/07/2019,11:50,FORREST,149.11676143923705,-35.32116544357294,YES,NO,West bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.32116544357294, 149.11676143923705)"
1212472,27/07/2019,13:32,BELCONNEN,149.06483317968767,-35.23622961510159,YES,NO,West bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.23622961510159, 149.06483317968767)"
1212238,31/07/2019,08:10,PARKES,149.13454465941086,-35.2867203406601,YES,NO,South bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.2867203406601, 149.13454465941086)"
1212495,29/07/2019,21:05,DICKSON,149.13473887314248,-35.24865982705123,YES,NO,North bound,Property Damage Only,Dark - good street lighting,Wet surface,Light rain,"(-35.24865982705123, 149.13473887314248)"
1213589,15/08/2019,16:50,RURAL - MAJURA,149.19512118799423,-35.23400872544688,NO,YES,North bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.23400872544688, 149.19512118799423)"
1213627,17/08/2019,14:25,NGUNNAWAL,149.11953652912496,-35.185901285206,YES,NO,South bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.185901285206, 149.11953652912496)"
1212491,29/07/2019,17:55,CHIFLEY,149.07705325674848,-35.347600922270736,NO,YES,West bound,Property Damage Only,Dark - good street lighting,Wet surface,Light rain,"(-35.347600922270736, 149.07705325674848)"
1212490,29/07/2019,17:50,BRUCE,149.0904125435661,-35.24252399245877,YES,NO,North bound,Property Damage Only,Dark - poor street lighting,Wet surface,Light rain,"(-35.24252399245877, 149.0904125435661)"
1213108,08/08/2019,07:15,BRUCE,149.09779989508291,-35.24699810331407,YES,NO,South / West bound,Property Damage Only,Semi-darkness,Wet surface,Cloudy or Overcast,"(-35.24699810331407, 149.09779989508291)"
