Owner,Common Name,Scientific Name,Park,Number of Stems,Trunk Diameter (cm),Date Installed,Memorial Tree,GeoJSON,Lat/Long
Municipal,Norway Maple,Acer platanoides,,1,37.0,,,"{""type"": ""Point"", ""coordinates"": [-76.45339896599995, 44.26107358500008]}","44.261073585,-76.453398966"
Municipal,Shademaster Honey-Locust,Gleditsia triacanthos var. inermis 'Shademaster',Edenwood Park,1,5.0,2020-11-26T06:00:00+01:00,,"{""type"": ""Point"", ""coordinates"": [-76.457746051018, 44.303226080153806]}","44.3032260802,-76.457746051"
Municipal,Northern Catalpa,Catalpa speciosa,Ken Matthews Park,1,5.0,2016-10-28T06:00:00+02:00,,"{""type"": ""Point"", ""coordinates"": [-76.500458554074, 44.25666141191652]}","44.2566614119,-76.5004585541"
Municipal,Littleleaf Linden,Tilia cordata,,1,24.0,,,"{""type"": ""Point"", ""coordinates"": [-76.59458293999995, 44.23228076600003]}","44.232280766,-76.59458294"
Municipal,Ash Species,Fraxinus species,Woodbine Park,1,22.0,,,"{""type"": ""Point"", ""coordinates"": [-76.60695464357417, 44.26220480822423]}","44.2622048082,-76.6069546436"
Municipal,Eastern White Pine,Pinus strobus,,1,3.0,2015-12-31T06:00:00+01:00,,"{""type"": ""Point"", ""coordinates"": [-76.56912081014494, 44.27437898768889]}","44.2743789877,-76.5691208101"
Municipal,Red Maple,Acer rubrum,Bexley Gate Park,1,4.0,2017-04-18T06:00:00+02:00,,"{""type"": ""Point"", ""coordinates"": [-76.56090771032846, 44.2532609749392]}","44.2532609749,-76.5609077103"
Municipal,Honey-Locust,Gleditsia triacanthos,,1,5.0,,,"{""type"": ""Point"", ""coordinates"": [-76.45117156099997, 44.26745874900007]}","44.267458749,-76.451171561"
Municipal,Norway Maple,Acer platanoides,,1,5.0,,,"{""type"": ""Point"", ""coordinates"": [-76.60811201099995, 44.262846059000026]}","44.262846059,-76.608112011"
Municipal,Silver Maple,Acer saccharinum,,1,84.0,,,"{""type"": ""Point"", ""coordinates"": [-76.50073070799994, 44.24530138600005]}","44.245301386,-76.500730708"
Municipal,American Beech,Fagus grandifolia,Churchill Park,3,10.0,,,"{""type"": ""Point"", ""coordinates"": [-76.50862380699994, 44.232882233000055]}","44.232882233,-76.508623807"
Municipal,Norway Maple,Acer platanoides,,1,20.0,,,"{""type"": ""Point"", ""coordinates"": [-76.54373120499997, 44.24426239600007]}","44.244262396,-76.543731205"
Municipal,Thornless Cockspur Hawthorn,Crataegus crusgalli var. inermis,Katings Fields,1,5.0,2018-04-30T06:00:00+02:00,,"{""type"": ""Point"", ""coordinates"": [-76.48462244645862, 44.24259062803664]}","44.242590628,-76.4846224465"
Municipal,Littleleaf Linden,Tilia cordata,,1,6.0,,,"{""type"": ""Point"", ""coordinates"": [-76.62621779599993, 44.27102500800004]}","44.271025008,-76.626217796"
Municipal,Red Maple,Acer rubrum,Kingston Memorial Centre,1,8.0,,,"{""type"": ""Point"", ""coordinates"": [-76.50055509199996, 44.24118031300003]}","44.241180313,-76.500555092"
Municipal,Littleleaf Linden,Tilia cordata,,1,12.0,,,"{""type"": ""Point"", ""coordinates"": [-76.60136171899995, 44.259127326000055]}","44.259127326,-76.601361719"
Municipal,Balsam Fir,Abies balsamea,,1,34.0,,,"{""type"": ""Point"", ""coordinates"": [-76.54715006499998, 44.27133149800005]}","44.271331498,-76.547150065"
Municipal,Red Maple,Acer rubrum,,1,18.0,,,"{""type"": ""Point"", ""coordinates"": [-76.57835014171579, 44.21744754076396]}","44.2174475408,-76.5783501417"
Municipal,Prospector Elm,Ulmus wilsoniana 'Prospector',Markers Acres Park,1,5.0,2016-06-30T06:00:00+02:00,,"{""type"": ""Point"", ""coordinates"": [-76.4909787756159, 44.2670529267829]}","44.2670529268,-76.4909787756"
Municipal,Amur Corktree,Phellodendron amurense,,1,5.0,,,"{""type"": ""Point"", ""coordinates"": [-76.56369621259914, 44.26908113963551]}","44.2690811396,-76.5636962126"
Municipal,Maidenhair Tree,Ginkgo biloba,,1,4.0,,,"{""type"": ""Point"", ""coordinates"": [-76.55780587599997, 44.26747904500007]}","44.267479045,-76.557805876"
Municipal,Autumn Blaze Maple,Acer x freemanii 'Jeffersred',,1,5.0,2017-11-08T06:00:00+01:00,,"{""type"": ""Point"", ""coordinates"": [-76.51879124849032, 44.258739172392985]}","44.2587391724,-76.5187912485"
Municipal,White Spruce,Picea glauca,,1,18.0,,,"{""type"": ""Point"", ""coordinates"": [-76.58125743699998, 44.248379714000066]}","44.248379714,-76.581257437"
Municipal,Amur Corktree,Phellodendron amurense,,1,5.0,2018-11-14T06:00:00+01:00,,"{""type"": ""Point"", ""coordinates"": [-76.54871596797673, 44.24340458956]}","44.2434045896,-76.548715968"
Municipal,White Spruce,Picea glauca,,1,9.0,,,"{""type"": ""Point"", ""coordinates"": [-76.54852724199998, 44.26219074000005]}","44.26219074,-76.548527242"
