Intersection-Leg,Description,Start Date,Days,AWDT,EB Peak AM Hour,EB Peak AM Volume,EB Peak PM Hour,EB Peak PM Volume,WB Peak AM Hour,WB Peak AM Volume,WB Peak PM Hour,WB Peak PM Volume,NB Peak AM Hour,NB Peak AM Volume,NB Peak PM Hour,NB Peak PM Volume,SB Peak AM Hour,SB Peak AM Volume,SB Peak PM Hour,SB Peak PM Volume,Location
ORR-148A-E,Old Redmond Rd east of 148th Ave NE,04/02/2007,3,5891,11:00 AM,162,2:00 PM,366,9:00 AM,191,4:00 PM,309,,,,,,,,,"(47.667847, -122.14243)"
REDW-161A-N,161st Ave NE north of Redmond Way,11/16/2014,7,9906,,,,,,,,,11:00 AM,403,5:00 PM,510,9:00 AM,286,12:00 PM,307,"(47.675427, -122.125559)"
076S-180A-W,NE 76th St west of 178th Pl NE and 180th Ave NE,10/13/2008,3,7670,11:00 AM,218,5:00 PM,353,11:00 AM,321,3:00 PM,346,,,,,,,,,"(47.671676, -122.103036)"
116S-172A-S,172nd Ave NE south of NE 116th St,11/11/2014,3,2179,,,,,,,,,7:00 AM,45,5:00 PM,231,8:00 AM,188,5:00 PM,59,"(47.703554, -122.110879)"
024S-148A-W,NE 24th St west of 148th Ave NE,09/13/2005,3,14459,11:00 AM,542,5:00 PM,675,11:00 AM,457,5:00 PM,779,,,,,,,,,"(47.631494, -122.144158)"
REDW-LEAW-N,Leary Way north of Redmond Way,10/27/2009,3,6114,,,,,,,,,11:00 AM,174,5:00 PM,362,8:00 AM,445,5:00 PM,239,"(47.674533, -122.122548)"
085S-160A-W,NE 85th St west of 160th Ave NE,06/24/1997,3,16276,11:00 AM,613,5:00 PM,871,7:00 AM,910,12:00 PM,792,,,,,,,,,"(47.678544, -122.128132)"
116S-AVR-S,Avondale Road south of NE 116th St,10/26/2010,3,23913,,,,,,,,,8:00 AM,562,5:00 PM,1274,7:00 AM,1129,5:00 PM,786,"(47.701729, -122.092788)"
ORR-WLSP-W,Old Redmond Rd west of West Lake Sammamish Pkwy,11/01/1999,3,6807,8:00 AM,244,6:00 PM,361,8:00 AM,210,6:00 PM,352,,,,,,,,,"(47.671605, -122.133453)"
UHR-AVR-W,Union Hill Rd west of Avondale Rd,11/02/2010,3,10109,8:00 AM,353,1:00 PM,423,8:00 AM,409,12:00 PM,418,,,,,,,,,"(47.674887, -122.106579)"
UHR-AVR-W,Union Hill Rd west of Avondale Rd,11/11/2014,3,11605,8:00 AM,437,1:00 PM,496,11:00 AM,398,4:00 PM,466,,,,,,,,,"(47.674887, -122.106579)"
REDW-164A-N,164th Ave NE north of Redmond Way,10/28/2014,3,9805,,,,,,,,,11:00 AM,244,4:00 PM,373,9:00 AM,456,12:00 PM,416,"(47.674212, -122.121583)"
