_id,OBJECTID,TCDSB_CODE,SCH_NAME,ADDRESS_FULL,MUNICIPALITY,POSTAL_CODE,TCDSB_LEVEL,STATUS,geometry
179,178,237,St Pius X,71 Jane St,former Toronto,M6S 3Y3,E,Open,"{u'type': u'Point', u'coordinates': (-79.4847133387, 43.6512772233)}"
180,179,285,St Raphael,3 Gade Dr,North York,M3M 2K2,E,Open,"{u'type': u'Point', u'coordinates': (-79.4884869452, 43.7285613409)}"
181,180,301,St Richard,960 Bellamy Rd N,Scarborough,M1H 1H1,E,Open,"{u'type': u'Point', u'coordinates': (-79.2402833917, 43.7683729377)}"
182,181,408,St Rene Goupil,44 Port Royal Trl,Scarborough,M1V 2G8,E,Open,"{u'type': u'Point', u'coordinates': (-79.2883031244, 43.8193483705)}"
183,182,216,St Rita,178 Edwin Ave,former Toronto,M6P 3Z9,E,Open,"{u'type': u'Point', u'coordinates': (-79.4564483358, 43.6661347664)}"
184,183,320,St Roch,174 Duncanwoods Dr,North York,M9L 2E3,E,Open,"{u'type': u'Point', u'coordinates': (-79.5667497159, 43.7537079717)}"
185,184,297,St Robert,70 Bainbridge Ave,North York,M3H 2K2,E,Open,"{u'type': u'Point', u'coordinates': (-79.4441451837, 43.7496575318)}"
186,185,354,St Sebastian,717 Brock Ave,former Toronto,M6H 3P1,E,Open,"{u'type': u'Point', u'coordinates': (-79.4399264681, 43.6627661509)}"
187,186,269,St Rose of Lima,3220 Lawrence Ave E,Scarborough,M1H 1A4,E,Open,"{u'type': u'Point', u'coordinates': (-79.2405599229, 43.7574823909)}"
188,187,383,St Simon,24 Strathburn Blvd,North York,M9M 2K3,E,Open,"{u'type': u'Point', u'coordinates': (-79.5329761661, 43.7188620936)}"
189,188,284,St Stephen,55 Golfdown Dr,Etobicoke,M9W 2H8,E,Open,"{u'type': u'Point', u'coordinates': (-79.5544458787, 43.7219220406)}"
190,189,373,St Sylvester,260 Silver Springs Blvd,Scarborough,M1V 1S4,E,Open,"{u'type': u'Point', u'coordinates': (-79.3022463993, 43.8053583872)}"
191,190,248,St Theresa Shrine,2665 Kingston Rd,Scarborough,M1M 1M2,E,Open,"{u'type': u'Point', u'coordinates': (-79.2424755892, 43.7156378599)}"
192,191,322,St Thomas More,2300 Ellesmere Rd,Scarborough,M1G 3M7,E,Open,"{u'type': u'Point', u'coordinates': (-79.2254548965, 43.7787033345)}"
193,192,236,St Thomas Aquinas,636 Glenholme Ave,York,M6E 3G9,E,Open,"{u'type': u'Point', u'coordinates': (-79.4457437831, 43.6958897058)}"
194,193,298,St Timothy,25 Rochelle Cres,North York,M2J 1Y3,E,Open,"{u'type': u'Point', u'coordinates': (-79.3513625072, 43.7751531673)}"
195,194,306,St Ursula,215 Livingston Rd,Scarborough,M1E 1L8,E,Open,"{u'type': u'Point', u'coordinates': (-79.1996603997, 43.7497922145)}"
196,196,227,St Vincent De Paul,116 Fermanagh Ave,former Toronto,M6R 1M2,E,Open,"{u'type': u'Point', u'coordinates': (-79.4479230169, 43.6468292694)}"
197,197,313,St Wilfrid,1685 Finch Ave W,North York,M3J 2G8,E,Open,"{u'type': u'Point', u'coordinates': (-79.5025543072, 43.7599168793)}"
198,198,371,Stella Maris,31 Ascot Ave,former Toronto,M6E 1E6,E,Open,"{u'type': u'Point', u'coordinates': (-79.4452161406, 43.6796507363)}"
199,199,398,Sts Cosmas and Damian,111 Danesbury Ave,North York,M6B 3L3,E,Open,"{u'type': u'Point', u'coordinates': (-79.4455683603, 43.7065900569)}"
200,200,414,The Divine Infant,30 Ingleton Blvd,Scarborough,M1V 3H7,E,Open,"{u'type': u'Point', u'coordinates': (-79.2703314545, 43.8218114975)}"
201,201,276,Transfiguration,55 Ludstone Dr,Etobicoke,M9R 2J2,E,Open,"{u'type': u'Point', u'coordinates': (-79.5628707286, 43.6915212587)}"
202,202,417,The Holy Trinity,6 Colonel Samuel Smith Park Dr,Etobicoke,M8V 4B7,E,Open,"{u'type': u'Point', u'coordinates': (-79.5171129579, 43.5972763443)}"
203,203,397,Venerable John Merlini,123 Whitfield Ave,North York,M9L 1G9,E,Open,"{u'type': u'Point', u'coordinates': (-79.5793835599, 43.7564805896)}"
204,204,247,Our Lady of Victory,70 Guestville Ave,York,M6N 4N3,E,Open,"{u'type': u'Point', u'coordinates': (-79.4903147846, 43.6833211279)}"
205,205,255,St Edward,1 Botham Rd,North York,M2N 2J6,E,Open,"{u'type': u'Point', u'coordinates': (-79.4134060832, 43.7539518153)}"
206,206,239,Our Lady of Perpetual Help,1 1/2 Garfield Ave,former Toronto,M4T 1E6,E,Open,"{u'type': u'Point', u'coordinates': (-79.383304882, 43.6872984914)}"
207,207,291,St Josaphat,110 Tenth St,Etobicoke,M8V 3G1,E,Open,"{u'type': u'Point', u'coordinates': (-79.5090595342, 43.5992985583)}"
208,208,412,North East SAL Program,100 Fundy Bay Blvd,Scarborough,M1W 3G1,AL,Open,"{u'type': u'Point', u'coordinates': (-79.3166033667, 43.8093505389)}"
209,209,848,East Facilities,97 Railside Rd,North York,M3A 1B2,ADM,Open,"{u'type': u'Point', u'coordinates': (-79.3240650498, 43.7355097864)}"
210,210,849,West Facilities,18 Beverly Hills Dr,North York,M3L 1A1,ADM,Open,"{u'type': u'Point', u'coordinates': (-79.5096033383, 43.7190601269)}"
