Row ID,Station Number,Station Description,Latitude,Longitude,Station Location,Date and Time,Water Level (m),Water Flow (cu meter per sec)
05DA009-20171128192500,05DA009,North Saskatchewan River at Whirlpool Point,,,"(52.00119, -116.47093)",11/28/2017 07:25:00 PM,0.4460,-1.0000
05DA009-20171128181000,05DA009,North Saskatchewan River at Whirlpool Point,,,"(52.00119, -116.47093)",11/28/2017 06:10:00 PM,0.4490,-1.0000
05DA009-20171128234500,05DA009,North Saskatchewan River at Whirlpool Point,,,"(52.00119, -116.47093)",11/28/2017 11:45:00 PM,0.4420,-1.0000
05DC012-20171128233000,05DC012,Baptiste River near the Mouth,,,"(52.664301, -115.076774)",11/28/2017 11:30:00 PM,1.0467,-1.0000
05DB002-20171128204000,05DB002,Prairie Creek near Rocky Mountain House,,,"(52.27284, -114.930807)",11/28/2017 08:40:00 PM,0.5010,-1.0000
05DA009-20171128222000,05DA009,North Saskatchewan River at Whirlpool Point,,,"(52.00119, -116.47093)",11/28/2017 10:20:00 PM,0.4470,-1.0000
05DD009-20171129000500,05DD009,Nordegg River at Sunchild Road,,,"(52.819905, -115.515413)",11/29/2017 12:05:00 AM,1.1490,-1.0000
05DB006-20171129000500,05DB006,Clearwater River near Dovercourt,,,"(52.253394, -114.856976)",11/29/2017 12:05:00 AM,0.6780,-1.0000
05DC006-20171128190000,05DC006,Ram River near the Mouth,,,"(52.367752, -115.422674)",11/28/2017 07:00:00 PM,0.8957,-1.0000
05DE010-20171128215000,05DE010,North Saskatchewan River at Hwy 759,,,"(53.314731, -114.757812)",11/28/2017 09:50:00 PM,87.6524,-1.0000
05DB006-20171128214500,05DB006,Clearwater River near Dovercourt,,,"(52.253394, -114.856976)",11/28/2017 09:45:00 PM,0.6810,-1.0000
05DC012-20171128190000,05DC012,Baptiste River near the Mouth,,,"(52.664301, -115.076774)",11/28/2017 07:00:00 PM,1.0457,-1.0000
05DD009-20171129003000,05DD009,Nordegg River at Sunchild Road,,,"(52.819905, -115.515413)",11/29/2017 12:30:00 AM,1.1480,-1.0000
05DD009-20171128212500,05DD009,Nordegg River at Sunchild Road,,,"(52.819905, -115.515413)",11/28/2017 09:25:00 PM,1.1470,-1.0000
05DA009-20171129002000,05DA009,North Saskatchewan River at Whirlpool Point,,,"(52.00119, -116.47093)",11/29/2017 12:20:00 AM,0.4370,-1.0000
05DB006-20171128222000,05DB006,Clearwater River near Dovercourt,,,"(52.253394, -114.856976)",11/28/2017 10:20:00 PM,0.6820,-1.0000
05DC012-20171128224500,05DC012,Baptiste River near the Mouth,,,"(52.664301, -115.076774)",11/28/2017 10:45:00 PM,1.0447,-1.0000
05DB002-20171128232000,05DB002,Prairie Creek near Rocky Mountain House,,,"(52.27284, -114.930807)",11/28/2017 11:20:00 PM,0.5100,-1.0000
05DD009-20171128173500,05DD009,Nordegg River at Sunchild Road,,,"(52.819905, -115.515413)",11/28/2017 05:35:00 PM,1.1440,-1.0000
05DE010-20171128230000,05DE010,North Saskatchewan River at Hwy 759,,,"(53.314731, -114.757812)",11/28/2017 11:00:00 PM,87.6574,-1.0000
05DD009-20171128185000,05DD009,Nordegg River at Sunchild Road,,,"(52.819905, -115.515413)",11/28/2017 06:50:00 PM,1.1450,-1.0000
05DE010-20171128214500,05DE010,North Saskatchewan River at Hwy 759,,,"(53.314731, -114.757812)",11/28/2017 09:45:00 PM,87.6534,-1.0000
05DE010-20171128195500,05DE010,North Saskatchewan River at Hwy 759,,,"(53.314731, -114.757812)",11/28/2017 07:55:00 PM,87.6624,-1.0000
05DA009-20171128203000,05DA009,North Saskatchewan River at Whirlpool Point,,,"(52.00119, -116.47093)",11/28/2017 08:30:00 PM,0.4460,-1.0000
05DB006-20171128183000,05DB006,Clearwater River near Dovercourt,,,"(52.253394, -114.856976)",11/28/2017 06:30:00 PM,0.6850,-1.0000
05DC006-20171128230000,05DC006,Ram River near the Mouth,,,"(52.367752, -115.422674)",11/28/2017 11:00:00 PM,1.1197,-1.0000
05DB002-20171128225500,05DB002,Prairie Creek near Rocky Mountain House,,,"(52.27284, -114.930807)",11/28/2017 10:55:00 PM,0.5090,-1.0000
05DA009-20171128200000,05DA009,North Saskatchewan River at Whirlpool Point,,,"(52.00119, -116.47093)",11/28/2017 08:00:00 PM,0.4440,-1.0000
05DA009-20171128214500,05DA009,North Saskatchewan River at Whirlpool Point,,,"(52.00119, -116.47093)",11/28/2017 09:45:00 PM,0.4460,-1.0000
05DE010-20171128193000,05DE010,North Saskatchewan River at Hwy 759,,,"(53.314731, -114.757812)",11/28/2017 07:30:00 PM,87.6654,-1.0000
05DB006-20171128202000,05DB006,Clearwater River near Dovercourt,,,"(52.253394, -114.856976)",11/28/2017 08:20:00 PM,0.6860,-1.0000
05DB006-20171128194500,05DB006,Clearwater River near Dovercourt,,,"(52.253394, -114.856976)",11/28/2017 07:45:00 PM,0.6850,-1.0000
05DA009-20171128190500,05DA009,North Saskatchewan River at Whirlpool Point,,,"(52.00119, -116.47093)",11/28/2017 07:05:00 PM,0.4470,-1.0000
05DE010-20171128205500,05DE010,North Saskatchewan River at Hwy 759,,,"(53.314731, -114.757812)",11/28/2017 08:55:00 PM,87.6574,-1.0000
05DC012-20171128191500,05DC012,Baptiste River near the Mouth,,,"(52.664301, -115.076774)",11/28/2017 07:15:00 PM,1.0467,-1.0000
05DD009-20171128234000,05DD009,Nordegg River at Sunchild Road,,,"(52.819905, -115.515413)",11/28/2017 11:40:00 PM,1.1480,-1.0000
05DD009-20171128180000,05DD009,Nordegg River at Sunchild Road,,,"(52.819905, -115.515413)",11/28/2017 06:00:00 PM,1.1440,-1.0000
05DB006-20171128220000,05DB006,Clearwater River near Dovercourt,,,"(52.253394, -114.856976)",11/28/2017 10:00:00 PM,0.6810,-1.0000
05DD009-20171128194500,05DD009,Nordegg River at Sunchild Road,,,"(52.819905, -115.515413)",11/28/2017 07:45:00 PM,1.1450,-1.0000
05DB002-20171128194000,05DB002,Prairie Creek near Rocky Mountain House,,,"(52.27284, -114.930807)",11/28/2017 07:40:00 PM,0.5010,-1.0000
05DB006-20171129002500,05DB006,Clearwater River near Dovercourt,,,"(52.253394, -114.856976)",11/29/2017 12:25:00 AM,0.6780,-1.0000
05DC006-20171128180000,05DC006,Ram River near the Mouth,,,"(52.367752, -115.422674)",11/28/2017 06:00:00 PM,0.8217,-1.0000
05DA009-20171128175000,05DA009,North Saskatchewan River at Whirlpool Point,,,"(52.00119, -116.47093)",11/28/2017 05:50:00 PM,0.4500,-1.0000
