DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Address,Cross Street,Location
191215943,06/13/2019,06/12/2019,2235,12,77th Street,1265,997,TRAFFIC COLLISION,4025 3034 3006 3028 3101,40,M,H,101,STREET,1200 W  81ST                         PL,,"(33.9651, -118.2959)"
190314401,06/09/2019,06/08/2019,0613,03,Southwest,0392,997,TRAFFIC COLLISION,4025 0101 3026 3101 3004 3029 3036,25,F,H,101,STREET,48TH                         ST,4TH                          AV,"(34.0001, -118.3214)"
190213088,06/12/2019,06/11/2019,2300,02,Rampart,0205,997,TRAFFIC COLLISION,0605 3101 3401 3701 3006 3030,25,F,W,101,STREET,MICHELTORENA                 ST,MARATHON                     ST,"(34.0823, -118.2791)"
190612857,06/01/2019,06/01/2019,1715,06,Hollywood,0666,997,TRAFFIC COLLISION,3004 3026 3035 3037 3101 3401 3701 4006,30,M,H,101,STREET,CAHUENGA                     BL,N  HOMEWOOD                     AV,"(34.0953, -118.3288)"
190912363,06/15/2019,06/14/2019,0900,09,Van Nuys,0901,997,TRAFFIC COLLISION,3004 3037 3101 3401 3701 4009 3025,47,M,A,101,STREET,WHITSETT                     AV,WOODBRIDGE                   ST,"(34.2085, -118.4698)"
191610339,06/15/2019,06/15/2019,1015,16,Foothill,1606,997,TRAFFIC COLLISION,3004 3037 3030 3028 3101 3401 3701 4016 0605,47,M,H,101,STREET,OSBORNE                      ST,W  FOOTHILL                     BL,"(34.276, -118.3783)"
191610168,06/08/2019,06/08/2019,1340,16,Foothill,1687,997,TRAFFIC COLLISION,0605 3008 3036 3026 3101 3401 3701 4016,32,F,H,101,STREET,STRATHERN                    ST,FAIR                         AV,"(34.2157, -118.3747)"
191813818,06/01/2019,06/01/2019,0030,18,Southeast,1861,997,TRAFFIC COLLISION,3036 3004 3028 3030 3101 0605,57,M,A,101,STREET,IMPERIAL                     HY,FIGUEROA                     ST,"(33.931, -118.2826)"
190711910,06/10/2019,05/28/2019,0815,07,Wilshire,0743,997,TRAFFIC COLLISION,3004 3025 3035 3037 3101 3401 3701 4027 0947,28,F,H,101,STREET,DE VALLE                     DR,FAIRFAX                      AV,"(34.0592, -118.3575)"
192110941,06/02/2019,06/02/2019,1808,21,Topanga,2157,997,TRAFFIC COLLISION,3006 3037 3030 3028 3101 3401 3701 4021,35,M,X,101,STREET,20400    HAYNES                       ST,,"(34.192, -118.5762)"
191813891,06/09/2019,06/09/2019,1550,18,Southeast,1861,997,TRAFFIC COLLISION,4025 3037 3004 3101 3029,12,F,B,101,STREET,IMPERIAL                     HY,HOOVER                       ST,"(33.931, -118.2893)"
200906180,02/19/2020,02/18/2020,2030,09,Van Nuys,0941,997,TRAFFIC COLLISION,3004 3037 3025 3101 4026,32,F,W,101,STREET,KESTER                       AV,BURBANK                      BL,"(34.1721, -118.4574)"
