StationName,StationLocation,DateTime,RecordId,RoadSurfaceTemperature,AirTemperature
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 12:49:00 AM,4127703,42.19,42.46
NE45StViaduct,POINT (-122.301929 47.66127),11/10/2020 12:50:00 AM,4197119,40.42,43.75
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 12:50:00 AM,4127704,42.19,42.49
AlbroPlaceAirportWay,POINT (-122.314114 47.547426),11/10/2020 12:46:00 AM,1055679,42.34,40.40
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/10/2020 12:46:00 AM,3045710,45.51,45.51
AlbroPlaceAirportWay,POINT (-122.314114 47.547426),11/10/2020 12:47:00 AM,1055680,42.34,40.30
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/10/2020 12:47:00 AM,3045711,45.51,45.51
AlbroPlaceAirportWay,POINT (-122.314114 47.547426),11/10/2020 12:48:00 AM,1055681,42.35,40.25
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/10/2020 12:48:00 AM,3045712,45.51,45.51
AlbroPlaceAirportWay,POINT (-122.314114 47.547426),11/10/2020 12:49:00 AM,1055682,42.35,40.22
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/10/2020 12:49:00 AM,3045713,45.51,45.51
AlbroPlaceAirportWay,POINT (-122.314114 47.547426),11/10/2020 12:50:00 AM,1055683,42.35,40.17
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/10/2020 12:50:00 AM,3045714,45.51,45.51
AlbroPlaceAirportWay,POINT (-122.314114 47.547426),11/10/2020 12:51:00 AM,1055684,42.35,40.16
AlbroPlaceAirportWay,POINT (-122.314114 47.547426),11/10/2020 12:52:00 AM,1055685,42.35,40.13
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/10/2020 12:51:00 AM,3045715,45.51,45.51
AlbroPlaceAirportWay,POINT (-122.314114 47.547426),11/10/2020 12:53:00 AM,1055686,42.35,40.08
AlbroPlaceAirportWay,POINT (-122.314114 47.547426),11/10/2020 12:54:00 AM,1055687,42.35,39.99
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/10/2020 12:52:00 AM,3045716,45.51,45.51
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/10/2020 12:53:00 AM,3045717,45.51,45.51
AlbroPlaceAirportWay,POINT (-122.314114 47.547426),11/10/2020 12:55:00 AM,1055688,42.35,39.98
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/10/2020 12:54:00 AM,3045718,45.51,45.51
AlbroPlaceAirportWay,POINT (-122.314114 47.547426),11/10/2020 12:56:00 AM,1055689,42.35,39.97
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/10/2020 12:55:00 AM,3045719,45.52,45.52
AlbroPlaceAirportWay,POINT (-122.314114 47.547426),11/10/2020 12:57:00 AM,1055690,42.35,39.97
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/10/2020 12:56:00 AM,3045720,45.52,45.52
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/10/2020 12:57:00 AM,3045721,45.52,45.52
AlbroPlaceAirportWay,POINT (-122.314114 47.547426),11/10/2020 12:58:00 AM,1055691,42.35,39.94
AlbroPlaceAirportWay,POINT (-122.314114 47.547426),11/10/2020 12:59:00 AM,1055692,42.35,39.93
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/10/2020 12:58:00 AM,3045722,45.53,45.53
AlbroPlaceAirportWay,POINT (-122.314114 47.547426),11/10/2020 01:00:00 AM,1055693,42.35,39.93
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/10/2020 12:59:00 AM,3045723,45.53,45.53
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/10/2020 01:00:00 AM,3045724,45.53,45.53
MagnoliaBridge,POINT (-122.387341 47.633454),11/10/2020 12:46:00 AM,4157200,40.84,43.70
NE45StViaduct,POINT (-122.301929 47.66127),11/10/2020 12:46:00 AM,4197115,40.40,43.53
MagnoliaBridge,POINT (-122.387341 47.633454),11/10/2020 12:47:00 AM,4157201,40.84,43.80
MagnoliaBridge,POINT (-122.387341 47.633454),11/10/2020 12:48:00 AM,4157202,40.85,43.81
NE45StViaduct,POINT (-122.301929 47.66127),11/10/2020 12:47:00 AM,4197116,40.40,43.49
AlbroPlaceAirportWay,POINT (-122.314114 47.547426),11/10/2020 02:16:00 AM,1055769,42.45,39.75
AlbroPlaceAirportWay,POINT (-122.314114 47.547426),11/10/2020 02:17:00 AM,1055770,42.45,39.78
AlbroPlaceAirportWay,POINT (-122.314114 47.547426),11/10/2020 02:18:00 AM,1055771,42.45,39.73
AlbroPlaceAirportWay,POINT (-122.314114 47.547426),11/10/2020 02:19:00 AM,1055772,42.45,39.67
AlbroPlaceAirportWay,POINT (-122.314114 47.547426),11/10/2020 02:20:00 AM,1055773,42.45,39.66
AlbroPlaceAirportWay,POINT (-122.314114 47.547426),11/10/2020 02:21:00 AM,1055774,42.45,39.63
AlbroPlaceAirportWay,POINT (-122.314114 47.547426),11/10/2020 02:22:00 AM,1055775,42.45,39.64
AlbroPlaceAirportWay,POINT (-122.314114 47.547426),11/10/2020 02:23:00 AM,1055776,42.45,39.63
AlbroPlaceAirportWay,POINT (-122.314114 47.547426),11/10/2020 02:24:00 AM,1055777,42.45,39.67
AlbroPlaceAirportWay,POINT (-122.314114 47.547426),11/10/2020 02:25:00 AM,1055778,42.45,39.67
AlbroPlaceAirportWay,POINT (-122.314114 47.547426),11/10/2020 02:26:00 AM,1055779,42.45,39.64
AlbroPlaceAirportWay,POINT (-122.314114 47.547426),11/10/2020 02:27:00 AM,1055780,42.45,39.56
AlbroPlaceAirportWay,POINT (-122.314114 47.547426),11/10/2020 02:28:00 AM,1055781,42.45,39.48
AlbroPlaceAirportWay,POINT (-122.314114 47.547426),11/10/2020 02:29:00 AM,1055782,42.45,39.47
AlbroPlaceAirportWay,POINT (-122.314114 47.547426),11/10/2020 02:30:00 AM,1055783,42.46,39.47
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 02:16:00 AM,4127790,42.14,42.30
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 02:17:00 AM,4127791,42.13,42.25
